PARTICIPANT_ID	PRESS_TIME	RELEASE_TIME
0	4.499932502818016	13.306374750580321
0	89.54552702124666	96.78380163744445
0	98.5720942542807	106.22291891205002
0	108.51551037859011	112.8877892227556
0	153.5280016745435	158.83123055277701
0	158.39357311102475	166.47175192276686
0	255.81784027230157	256.5721609222013
0	315.34797219729313	316.7413569796156
0	411.76830244745065	412.68338553021954
0	478.33898136936546	486.11550822151634
0	525.9273083188365	528.026946201289
0	549.7111798138501	551.9056433076803
0	645.4757771158921	654.5879420638181
0	727.0863458566904	734.2208705195064
0	766.1637224189348	766.182365648881
0	767.4598462598964	774.9544892040352
0	862.5123452125447	871.4904000223632
0	886.9778374928106	889.1273865948805
0	942.5596871598411	942.941559397382
0	1024.2705697993804	1028.4296365651855
0	1051.4672609912602	1060.8816451498824
0	1121.27150923285	1122.3118419336088
0	1125.7546620919286	1133.1773748385551
0	1208.5158076384782	1210.625798470888
0	1214.2557899618628	1217.1244599892032
0	1248.1964008635891	1251.3444820216937
0	1339.5513655850027	1344.5767726932029
0	1388.3751904238031	1394.8041349998457
0	1487.948491992396	1489.1510734204987
0	1490.76748588459	1496.5864466058115
0	1585.2273582762134	1592.2138776382192
0	1660.965361814277	1667.0203000883387
0	1690.9361923172994	1692.6900210139506
0	1761.0254587690981	1770.7727296856751
0	1837.3845578068085	1837.8039348493644
0	1884.5043221887313	1893.5645086494242
0	1890.6022851977807	1898.7537421787238
0	1972.0541320647185	1976.3539569965492
0	2004.2582267019775	2011.3426410929123
0	2016.2738758435637	2019.1355027894638
0	2087.1998335865183	2093.7087172041124
0	2127.718345669626	2131.849080472989
0	2175.4346726000063	2177.7586762271426
0	2202.817314228362	2203.3244191318017
0	2300.8178408938875	2309.006180891535
0	2313.8336316771947	2320.6294308643783
0	2331.7064990154886	2334.403993826839
0	2365.094905891339	2371.6454849224187
0	2424.3346400491105	2432.9469237339135
0	2471.005040027903	2474.7825709011895
0	2501.034052277683	2510.6443013983644
0	2508.1104736811244	2516.9799237545126
0	2512.4348885059235	2515.193713118944
0	2562.202560886755	2564.0424258744597
0	2638.5765581656183	2640.794075148193
0	2709.500889929643	2709.6354337638913
0	2763.249052843862	2764.4073399613317
0	2798.11512370236	2807.3148575666987
0	2865.918500646959	2870.569882415622
0	2931.60218883698	2937.3569665487717
0	3021.1360182642857	3025.217243718877
0	3108.2800556406523	3110.2847614742773
0	3198.465711117757	3199.8230862314185
0	3295.288057556566	3302.4553005170364
0	3347.1797652337355	3355.061497768967
0	3421.2322143916713	3430.1427085482396
0	3519.7181374115835	3527.7131802094686
0	3617.111000046042	3617.8552641186207
0	3658.1840275984573	3659.360491948557
0	3753.302341138405	3760.733293527086
0	3821.0980990596263	3829.336531881547
0	3889.2356607113884	3893.383276043315
0	3918.7693448913374	3921.4087437248245
0	3953.4436039493753	3962.311543973719
0	4023.70987103123	4031.733873899682
0	4076.8579022002295	4079.2319412182874
0	4132.038550708504	4132.308407096872
0	4183.614427336447	4190.084472903025
0	4256.884542014163	4260.4021908544855
0	4328.218291057947	4335.450666288695
0	4334.866547307406	4335.999543187292
0	4398.912020156503	4404.449955494447
0	4422.135403210567	4426.449528534686
0	4459.723318544709	4462.495397313283
0	4460.19316513236	4469.419846358078
0	4471.615524326539	4481.301321836117
0	4552.464057823934	4553.683313316792
0	4627.263130665741	4628.825494530798
