R,Key.enter,1724464561207411000
P,'[',1724464581630446000
R,'[',1724464581733501000
P,'2',1724464581914470000
R,'2',1724464582030746000
P,'0',1724464582198223000
R,'0',1724464582246186000
P,'0',1724464582341619000
R,'0',1724464582429892000
P,'5',1724464582977572000
R,'5',1724464583123904000
P,Key.space,1724464583238634000
R,Key.space,1724464583400929000
P,Key.shift,1724464583645534000
P,'C',1724464583878334000
R,Key.shift,1724464583991728000
R,'c',1724464584014530000
P,'o',1724464584039183000
R,'o',1724464584135567000
P,'a',1724464584170889000
R,'a',1724464584312595000
P,'c',1724464584482423000
R,'c',1724464584606685000
P,'h',1724464584757429000
R,'h',1724464584856698000
P,Key.space,1724464584896320000
R,Key.space,1724464585041845000
P,Key.shift,1724464585311784000
P,'C',1724464585550654000
R,Key.shift,1724464585660981000
R,'c',1724464585680045000
P,'a',1724464585822341000
R,'a',1724464585933732000
P,'r',1724464586211122000
R,'r',1724464586253561000
P,'t',1724464586385397000
R,'t',1724464586449444000
P,'e',1724464586524193000
R,'e',1724464586633477000
P,'r',1724464586641377000
R,'r',1724464586705726000
P,Key.space,1724464586982784000
R,Key.space,1724464587087620000
P,Key.shift,1724464587262285000
P,'S',1724464587441579000
R,Key.shift,1724464587518854000
R,'s',1724464587540824000
P,'p',1724464587579486000
R,'p',1724464587658219000
P,'e',1724464587796172000
R,'e',1724464587878261000
P,'e',1724464587956229000
R,'e',1724464588033275000
P,'c',1724464588229741000
R,'c',1724464588332980000
P,'h',1724464589401607000
R,'h',1724464589453033000
P,']',1724464590224852000
R,']',1724464590333110000
P,Key.space,1724464591479687000
R,Key.space,1724464591600187000
P,'-',1724464591669754000
R,'-',1724464591762227000
P,Key.space,1724464591902202000
R,Key.space,1724464592050728000
P,Key.shift,1724464592399409000
P,'I',1724464592664354000
R,'I',1724464592731036000
R,Key.shift,1724464592758609000
P,'t',1724464592957300000
R,'t',1724464593042586000
P,Key.space,1724464593068545000
R,Key.space,1724464593164554000
P,'i',1724464593750572000
R,'i',1724464593835894000
P,'s',1724464593908219000
P,Key.space,1724464593992772000
R,'s',1724464594025572000
R,Key.space,1724464594100881000
P,'n',1724464594173150000
R,'n',1724464594262795000
P,'o',1724464594394573000
R,'o',1724464594474943000
P,'t',1724464594514526000
R,'t',1724464594635506000
P,Key.space,1724464594682413000
R,Key.space,1724464594799368000
P,'j',1724464594948676000
R,'j',1724464595018434000
P,'u',1724464595130579000
R,'u',1724464595208538000
P,'s',1724464595257591000
R,'s',1724464595391561000
P,'t',1724464595441333000
R,'t',1724464595520859000
P,Key.space,1724464595540822000
R,Key.space,1724464595660993000
P,'f',1724464595727934000
R,'f',1724464595842745000
P,'o',1724464595886945000
R,'o',1724464595959062000
P,'r',1724464596066469000
P,Key.space,1724464596199318000
R,'r',1724464596211850000
R,Key.space,1724464596330898000
P,'t',1724464596385487000
R,'t',1724464596509290000
P,'h',1724464596523565000
R,'h',1724464596613709000
P,'e',1724464596708364000
P,Key.space,1724464596773823000
R,'e',1724464596826287000
R,Key.space,1724464596897139000
P,'p',1724464597312158000
